Vivado Simulator 2020.2
Time resolution is 1 ps
WARNING: File younghee.mem referenced on C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/VGA/QVGA_MemController.sv at line 55 cannot be opened for reading. Please ensure that this file is available in the current working directory.
time	reset	busy	DE	Hsync	Vsync	pixel_clk
                   0	1	x	1	1	1	0
              100000	0	x	1	1	1	0
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(0)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(1)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(2)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
             8000000	0	0	1	1	1	0
             8020000	0	0	1	1	1	1
             8040000	0	0	1	1	1	0
             8060000	0	0	1	1	1	1
             8080000	0	0	1	1	1	0
             8100000	0	0	1	1	1	1
             8120000	0	0	1	1	1	0
             8140000	0	0	1	1	1	1
             8160000	0	0	1	1	1	0
             8180000	0	0	1	1	1	1
             8200000	0	0	1	1	1	0
             8220000	0	0	1	1	1	1
             8240000	0	0	1	1	1	0
             8260000	0	0	1	1	1	1
             8280000	0	0	1	1	1	0
             8300000	0	0	1	1	1	1
             8320000	0	0	1	1	1	0
             8340000	0	0	1	1	1	1
             8360000	0	0	1	1	1	0
             8380000	0	0	1	1	1	1
             8400000	0	0	1	1	1	0
             8420000	0	0	1	1	1	1
             8440000	0	0	1	1	1	0
             8460000	0	0	1	1	1	1
             8480000	0	0	1	1	1	0
             8500000	0	0	1	1	1	1
             8520000	0	0	1	1	1	0
             8540000	0	0	1	1	1	1
             8560000	0	0	1	1	1	0
             8580000	0	0	1	1	1	1
             8600000	0	0	1	1	1	0
             8620000	0	0	1	1	1	1
             8640000	0	0	1	1	1	0
             8660000	0	0	1	1	1	1
             8680000	0	0	1	1	1	0
             8700000	0	0	1	1	1	1
             8720000	0	0	1	1	1	0
             8740000	0	0	1	1	1	1
             8760000	0	0	1	1	1	0
             8780000	0	0	1	1	1	1
             8800000	0	0	1	1	1	0
             8820000	0	0	1	1	1	1
             8840000	0	0	1	1	1	0
